1987706971,126,8
2823309869,258,17
2018206416,646,30
1411012235,758,43
910450687,30,49
851994338,219,4
1826910021,51,23
853832910,93,17
278166517,12,5
4231692729,1135,35
1665960127,81,41
266376341,11,12
472499330,186,1
921084391,8,45
851691301,360,9
883864319,629,43
2823076579,283,10
2752167828,597,12
4138124839,546,11
1307889184,331,7
4139963327,351,8
3003702242,331,38
2212031043,57,23
2009133741,38,33
2006383639,6,34
3217361694,59,12
2225541197,14,12
1826690663,140,14
1997478471,440,16
1826038120,3,34
1863526274,722,46
2008756130,37,18
1818312417,51,41
2225030818,42,17
855723405,283,37
906712163,163,20
4689583158,599,42
3736001856,380,29
4130434451,134,36
2729275541,632,7
1826452558,407,23
836074222,4,25
4212228876,193,7
2006550185,41,39
920882594,831,3
266441725,618,22
922983063,4,3
1997250651,6,21
906733639,158,24
4149255519,36,47
2008921835,854,49
1997250525,204,1
921717644,209,11
923126907,296,27
923129173,1020,2
1275190878,165,28
2222711791,142,5
2222713247,313,34
266596573,303,49
