2,68,124,83,
13,55,120,72,
20,88,104,103,
1,69,125,84,
14,56,121,73,
14,54,119,72,
21,89,103,104,
2,70,126,85,
28,70,135,87,
15,53,118,71,
22,90,104,105,
30,98,94,113,
3,71,127,86,
8,76,132,91,
32,74,139,91,
19,49,114,67,
16,54,119,72,
29,97,111,112,
23,91,105,106,
44,112,80,115,
32,100,96,115,
18,86,124,95,
16,84,140,99,
21,47,112,65,
20,58,123,76,
25,93,107,108,
48,116,84,119,
62,130,62,97,
57,125,93,128,
25,93,131,102,
23,91,119,90,
21,87,145,104,
30,56,121,74,
22,46,111,64,
37,63,122,75,
38,106,120,97,
50,118,86,121,
52,120,88,123,
66,134,58,93,
58,126,94,129,
36,104,142,113,
29,97,113,84,
42,66,131,84,
35,61,124,77,
25,43,108,61,
24,48,113,66,
49,75,110,63,
42,110,122,93,
53,121,89,124,
81,149,73,108,
72,129,52,87,
31,99,111,82,
30,98,114,85,
41,65,130,83,
42,26,125,78,
27,45,108,61,
42,60,125,78,
26,44,107,60,
30,54,119,72,
25,49,114,67,
51,77,108,61,
50,76,111,64,
40,108,120,91,
94,162,86,121,
75,126,55,84,
76,131,48,89,
32,100,110,81,
32,100,112,83,
55,100,139,110,
42,66,131,84,
37,61,126,79,
46,30,129,78,
44,24,127,80,
50,34,133,86,
43,27,126,79,
33,51,114,67,
46,64,129,82,
27,45,106,59,
33,57,122,75,
32,56,121,74,
27,51,116,69,
27,51,116,69,
57,78,102,55,
74,100,135,88,
33,101,113,84,
76,125,56,83,
77,130,47,88,
65,90,77,48,
74,119,158,129,
63,108,147,118,
61,85,150,103,
43,67,132,85,
52,76,141,94,
36,60,125,78,
55,39,138,87,
48,32,131,76,
56,36,139,92,
54,14,137,90,
54,38,137,90,
62,46,145,94,
44,28,127,79,
36,54,117,70,
55,73,136,89,
34,52,115,68,
52,70,135,88,
29,47,108,61,
28,46,105,58,
36,60,125,78,
35,59,124,77,
33,57,122,75,
31,55,120,73,
32,56,121,74,
49,67,113,66,
