2,60,61,82,81,40,
13,47,50,71,70,29,
20,80,81,102,101,60,
1,61,62,83,82,41,
14,48,51,72,71,30,
14,46,51,72,70,30,
21,81,82,103,102,61,
2,62,63,84,83,42,
28,62,65,86,85,44,
15,45,52,73,69,31,
22,82,83,104,103,62,
30,90,91,112,111,70,
3,63,64,85,84,43,
8,68,69,90,89,48,
32,66,69,90,89,48,
19,41,56,77,65,35,
16,46,53,74,70,32,
29,89,90,111,110,69,
23,83,84,105,104,63,
44,104,105,126,113,84,
32,92,93,114,113,72,
18,78,79,100,93,58,
16,72,77,98,97,56,
21,39,58,79,63,37,
20,50,57,78,74,36,
25,85,86,107,106,65,
48,108,109,130,117,88,
62,122,123,144,95,102,
57,117,118,139,126,97,
25,85,86,107,100,65,
23,83,84,105,88,63,
21,67,82,103,102,61,
30,48,67,88,72,46,
22,38,59,78,62,38,
37,55,74,95,73,53,
38,98,99,120,95,78,
50,110,111,132,119,90,
52,112,113,134,121,92,
66,126,127,148,91,106,
58,118,119,140,127,98,
36,96,97,118,111,76,
29,89,90,111,82,69,
42,46,79,84,82,58,
35,53,72,93,75,51,
25,35,62,81,59,41,
24,38,61,76,64,40,
49,67,86,107,61,65,
42,102,103,124,91,82,
53,113,114,135,122,93,
81,141,142,163,106,121,
72,121,133,154,85,112,
31,91,92,113,80,71,
30,90,91,112,83,70,
41,45,78,83,81,57,
42,51,71,74,76,58,
27,37,64,83,59,43,
42,18,59,64,76,58,
26,36,63,82,58,42,
30,34,67,72,70,46,
25,37,62,75,65,41,
51,69,88,109,59,67,
50,68,87,108,62,66,
40,100,101,122,89,80,
94,154,155,176,119,134,
75,118,136,157,82,115,
76,123,137,158,87,111,
32,92,93,114,79,72,
32,92,93,114,81,72,
55,80,106,105,108,92,
42,46,79,84,82,58,
37,41,74,79,77,53,
46,55,74,78,76,62,
44,53,73,76,78,60,
50,43,63,66,84,66,
43,52,72,75,77,59,
33,43,70,89,65,49,
46,14,55,60,80,62,
27,37,64,83,57,43,
33,37,70,75,73,49,
32,32,69,70,72,48,
27,36,64,74,67,43,
27,35,64,73,67,43,
57,70,94,115,53,73,
74,92,111,132,86,90,
33,93,94,115,82,73,
76,117,137,158,81,116,
77,122,138,159,86,110,
65,82,109,128,46,82,
74,99,88,124,127,111,
63,88,114,113,116,100,
61,65,91,90,101,77,
43,47,80,85,83,59,
52,42,89,80,92,68,
36,40,73,78,76,52,
55,55,74,78,85,71,
48,57,72,80,74,64,
56,65,85,88,90,72,
54,63,83,86,88,70,
54,47,67,70,88,70,
62,31,51,54,92,78,
44,53,73,76,77,60,
36,46,73,92,68,52,
55,65,92,111,87,71,
34,44,71,90,66,50,
52,8,49,54,86,68,
29,39,66,85,59,45,
28,38,65,84,56,44,
36,40,73,78,76,52,
35,39,72,77,75,51,
33,31,70,69,73,49,
31,32,68,70,71,47,
32,30,69,68,72,48,
49,59,86,105,64,65,
55,65,92,111,29,65,
76,94,113,134,88,92,
88,105,132,151,69,105,
83,110,137,156,74,110,
83,116,143,162,80,104,
83,128,144,165,92,116,
64,74,101,120,38,74,
66,83,110,129,47,83,
102,94,55,92,157,117,
65,90,116,115,118,102,
59,63,89,88,99,75,
42,29,76,67,82,58,
67,57,89,94,107,83,
42,46,79,84,82,58,
39,43,76,81,79,55,
42,46,79,84,82,58,
61,55,68,82,86,77,
56,54,74,77,86,72,
51,60,75,83,77,67,
51,56,69,83,71,67,
65,74,94,97,99,81,
55,64,84,87,89,71,
55,48,68,71,87,71,
75,23,42,41,101,91,
63,36,46,59,97,78,
69,23,44,62,84,85,
52,61,75,84,69,68,
43,53,80,99,70,59,
35,45,72,91,67,51,
53,7,48,53,87,69,
33,43,70,89,63,49,
32,42,69,88,52,48,
37,41,74,79,77,53,
39,23,70,61,79,55,
38,25,72,63,78,54,
33,29,70,67,73,49,
48,58,85,104,70,64,
56,66,93,112,28,64,
43,53,80,99,41,59,
77,95,114,135,89,93,
89,104,131,150,68,104,
89,116,143,162,80,102,
88,111,138,157,75,99,
84,129,145,166,93,117,
79,89,116,135,53,89,
78,88,115,134,52,88,
69,86,113,132,50,86,
101,93,54,91,156,116,
66,91,117,116,119,103,
57,61,87,86,97,73,
51,38,85,76,91,67,
68,58,88,93,108,84,
43,47,80,85,82,59,
42,46,79,84,82,58,
46,50,83,88,86,62,
62,56,69,83,87,78,
61,50,63,77,81,77,
57,55,75,78,87,73,
59,68,83,91,85,75,
59,48,61,79,79,75,
54,60,73,86,67,70,
70,79,99,102,104,86,
56,65,85,88,90,72,
61,54,74,77,93,77,
56,49,68,72,86,72,
80,28,47,46,106,96,
78,26,45,44,104,94,
81,29,48,47,95,97,
82,37,56,55,115,98,
74,22,41,40,102,90,
47,52,30,51,103,62,
63,17,38,61,86,79,
67,21,44,66,80,83,
37,47,74,93,69,53,
54,8,49,54,88,70,
55,9,46,55,89,71,
54,6,49,52,88,70,
35,45,72,91,65,51,
34,44,71,90,64,50,
33,43,70,89,53,49,
39,49,76,95,45,55,
34,44,71,90,54,50,
42,47,79,85,72,58,
42,20,67,58,82,58,
57,67,94,113,27,63,
46,56,83,102,40,62,
82,100,119,140,94,98,
91,102,129,148,66,102,
90,105,132,151,69,105,
90,117,144,163,81,103,
89,112,139,158,76,98,
91,108,135,154,72,100,
86,96,123,142,60,96,
85,95,122,141,59,95,
113,123,150,169,87,123,
79,89,116,135,53,89,
81,91,118,137,55,91,
70,87,114,133,51,87,
87,79,40,77,142,102,
71,96,122,121,124,108,
56,60,86,85,96,72,
66,70,96,95,106,82,
52,39,86,77,92,68,
96,44,53,58,130,112,
45,54,82,92,75,61,
54,58,84,83,94,70,
68,72,105,110,108,84,
60,49,62,78,80,76,
58,51,66,74,84,74,
60,47,60,80,80,76,
